time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-06 00:00:00+00:00,,,122.0,19.0
2024-03-07 00:00:00+00:00,,,83.0,6.0
2024-03-08 00:00:00+00:00,,,26.0,2.0
2024-03-09 00:00:00+00:00,1.0,1.0,,
2024-03-10 00:00:00+00:00,,,23.0,1.0
2024-03-11 00:00:00+00:00,,,12.0,5.0
2024-03-12 00:00:00+00:00,,,12.0,4.0
2024-03-13 00:00:00+00:00,,,33.0,3.0
2024-03-14 00:00:00+00:00,,,14.0,2.0
2024-03-15 00:00:00+00:00,,,10.0,2.0
2024-03-16 00:00:00+00:00,,,1.0,1.0
2024-03-18 00:00:00+00:00,,,21.0,3.0
2024-03-19 00:00:00+00:00,,,26.0,5.0
