time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-05 00:00:00+00:00,0,0,5,1
2023-12-06 00:00:00+00:00,1,1,6,1
2023-12-08 00:00:00+00:00,2,1,3,1
2023-12-09 00:00:00+00:00,0,0,9,2
2023-12-10 00:00:00+00:00,0,0,1,1
2023-12-11 00:00:00+00:00,1,1,6,1
2023-12-12 00:00:00+00:00,0,0,20,2
2023-12-13 00:00:00+00:00,0,0,3,3
2023-12-14 00:00:00+00:00,0,0,8,3
2023-12-20 00:00:00+00:00,0,0,46,2
2023-12-21 00:00:00+00:00,0,0,1,1
2023-12-23 00:00:00+00:00,0,0,1,1
2023-12-24 00:00:00+00:00,0,0,3,1
2023-12-26 00:00:00+00:00,0,0,13,1
2023-12-27 00:00:00+00:00,0,0,6,2
2023-12-28 00:00:00+00:00,0,0,22,1
2023-12-30 00:00:00+00:00,2,1,0,0
2023-12-31 00:00:00+00:00,1,1,0,0
2024-01-02 00:00:00+00:00,0,0,1,1
2024-01-05 00:00:00+00:00,0,0,6,2
2024-01-08 00:00:00+00:00,0,0,83,4
2024-01-09 00:00:00+00:00,0,0,29,2
2024-01-11 00:00:00+00:00,0,0,7,1
2024-01-12 00:00:00+00:00,0,0,3,1
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,14,2
2024-01-16 00:00:00+00:00,0,0,3,2
2024-01-17 00:00:00+00:00,0,0,12,2
2024-01-18 00:00:00+00:00,0,0,1,1
2024-01-22 00:00:00+00:00,0,0,10,1
