time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-05 00:00:00+00:00,0,0,7,1
2023-12-16 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-13 00:00:00+00:00,1,1,10,1
2024-01-14 00:00:00+00:00,0,0,6,1
2024-01-18 00:00:00+00:00,0,0,2,1
2024-01-19 00:00:00+00:00,0,0,2,1
2024-01-27 00:00:00+00:00,0,0,1,1
2024-01-29 00:00:00+00:00,0,0,26,2
2024-02-08 00:00:00+00:00,0,0,2,1
2024-02-09 00:00:00+00:00,0,0,2,1
2024-02-22 00:00:00+00:00,0,0,1,1
2024-03-03 00:00:00+00:00,1,1,0,0
2024-03-05 00:00:00+00:00,0,0,2,1
2024-03-13 00:00:00+00:00,0,0,2,1
2024-03-21 00:00:00+00:00,0,0,2,1
2024-03-25 00:00:00+00:00,1,1,0,0
2024-03-28 00:00:00+00:00,0,0,2,1
2024-04-12 00:00:00+00:00,0,0,2,1
2024-04-15 00:00:00+00:00,0,0,2,1
2024-05-08 00:00:00+00:00,0,0,2,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-14 00:00:00+00:00,0,0,2,1
