time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-05 00:00:00+00:00,0,0,1,1
2023-12-06 00:00:00+00:00,1,1,0,0
2023-12-13 00:00:00+00:00,1,1,1,1
2023-12-15 00:00:00+00:00,0,0,1,1
2023-12-21 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,3,2,0,0
2024-01-09 00:00:00+00:00,1,1,0,0
2024-01-11 00:00:00+00:00,1,1,0,0
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-16 00:00:00+00:00,0,0,1,1
2024-01-26 00:00:00+00:00,2,1,0,0
2024-01-29 00:00:00+00:00,2,1,0,0
2024-02-12 00:00:00+00:00,0,0,1,1
2024-03-02 00:00:00+00:00,2,2,0,0
2024-03-06 00:00:00+00:00,0,0,7,1
2024-03-28 00:00:00+00:00,1,1,0,0
2024-04-04 00:00:00+00:00,0,0,1,1
2024-04-09 00:00:00+00:00,0,0,1,1
2024-04-20 00:00:00+00:00,1,1,0,0
2024-04-25 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,1,1,0,0
