url_path,views_total,views_unique
/cicsdev/cics-async-api-redbooks/tree/main/web-banking/src,21,2
/cicsdev/cics-async-api-redbooks/tree/main/web-banking,12,2
/cicsdev/cics-async-api-redbooks/blob/main/web-banking/src/WEBHOME.cbl,8,3
/cicsdev/cics-async-api-redbooks/blob/main/web-banking/src/GETNAME.cbl,8,1
/cicsdev/cics-async-api-redbooks/tree/main/web-banking/etc,7,1
/cicsdev/cics-async-api-redbooks/blob/main/web-banking/src/GETLOAN.cbl,6,2
/cicsdev/cics-async-api-redbooks/tree/main/web-banking/etc/AccountServices,6,1
/cicsdev/cics-async-api-redbooks,4,3
/cicsdev/cics-async-api-redbooks/blob/main/web-banking/src/ACCTCURR.cbl,4,1
/cicsdev/cics-async-api-redbooks/tree/main/web-banking/etc/AccountServicesBundle,3,1
