url_path,views_total,views_unique
/cicsdev/cics-banking-sample-application-cbsa,69,39
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src,50,18
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base/cobol_src,43,15
/cicsdev/cics-banking-sample-application-cbsa/tree/main/src/base,39,12
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/aarfiles/creacc.aar,24,1
/cicsdev/cics-banking-sample-application-cbsa/blob/main/etc/install/base/doc/CBSA_base_cobol_installation_instructions.md,22,11
/cicsdev/cics-banking-sample-application-cbsa/tree/main/etc,22,8
/cicsdev/cics-banking-sample-application-cbsa/tree/main/etc/install/base/installjcl,21,12
/cicsdev/cics-banking-sample-application-cbsa/tree/main/etc/install,18,8
/cicsdev/cics-banking-sample-application-cbsa/tree/main/etc/install/base,17,9
