time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-17 00:00:00+00:00,,,48.0,5.0
2024-05-18 00:00:00+00:00,,,2.0,1.0
2024-05-19 00:00:00+00:00,7.0,2.0,74.0,4.0
2024-05-20 00:00:00+00:00,,,37.0,6.0
2024-05-21 00:00:00+00:00,,,163.0,14.0
2024-05-22 00:00:00+00:00,,,65.0,18.0
2024-05-23 00:00:00+00:00,,,99.0,10.0
2024-05-24 00:00:00+00:00,1.0,1.0,50.0,7.0
2024-05-25 00:00:00+00:00,,,26.0,2.0
2024-05-26 00:00:00+00:00,2.0,2.0,,
2024-05-27 00:00:00+00:00,,,102.0,6.0
2024-05-28 00:00:00+00:00,2.0,1.0,121.0,26.0
2024-05-29 00:00:00+00:00,,,175.0,9.0
2024-05-30 00:00:00+00:00,1.0,1.0,49.0,8.0
