time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,0,0,17,2
2023-12-03 00:00:00+00:00,1,1,2,1
2023-12-04 00:00:00+00:00,13,6,31,7
2023-12-05 00:00:00+00:00,2,2,174,5
2023-12-06 00:00:00+00:00,5,4,91,13
2023-12-07 00:00:00+00:00,5,5,132,6
2023-12-08 00:00:00+00:00,1,1,49,11
2023-12-09 00:00:00+00:00,0,0,8,2
2023-12-10 00:00:00+00:00,1,1,2,1
2023-12-11 00:00:00+00:00,3,2,38,12
2023-12-12 00:00:00+00:00,2,2,61,8
2023-12-13 00:00:00+00:00,5,4,225,8
2023-12-14 00:00:00+00:00,3,2,182,6
2023-12-15 00:00:00+00:00,5,2,305,8
2023-12-18 00:00:00+00:00,0,0,33,5
2023-12-19 00:00:00+00:00,1,1,4,1
2023-12-20 00:00:00+00:00,0,0,13,4
2023-12-22 00:00:00+00:00,0,0,4,2
2023-12-25 00:00:00+00:00,0,0,71,5
2023-12-27 00:00:00+00:00,0,0,20,2
2023-12-28 00:00:00+00:00,0,0,19,5
2023-12-29 00:00:00+00:00,2,1,6,3
2024-01-01 00:00:00+00:00,1,1,7,1
2024-01-02 00:00:00+00:00,0,0,54,7
2024-01-03 00:00:00+00:00,0,0,80,7
2024-01-04 00:00:00+00:00,3,3,57,3
2024-01-05 00:00:00+00:00,0,0,31,7
2024-01-08 00:00:00+00:00,1,1,30,2
2024-01-09 00:00:00+00:00,2,2,11,5
2024-01-10 00:00:00+00:00,3,2,81,7
2024-01-11 00:00:00+00:00,2,1,51,7
2024-01-12 00:00:00+00:00,1,1,99,12
2024-01-13 00:00:00+00:00,0,0,5,2
