time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-21 00:00:00+00:00,,,10.0,2.0
2024-06-22 00:00:00+00:00,1.0,1.0,5.0,1.0
2024-06-24 00:00:00+00:00,6.0,3.0,2.0,1.0
2024-06-25 00:00:00+00:00,4.0,3.0,48.0,3.0
2024-06-26 00:00:00+00:00,3.0,2.0,3.0,2.0
2024-06-27 00:00:00+00:00,1.0,1.0,14.0,3.0
2024-06-28 00:00:00+00:00,,,28.0,1.0
2024-06-30 00:00:00+00:00,1.0,1.0,,
2024-07-01 00:00:00+00:00,2.0,1.0,6.0,3.0
2024-07-02 00:00:00+00:00,,,2.0,1.0
2024-07-04 00:00:00+00:00,,,8.0,2.0
