url_path,views_total,views_unique
/cicsdev/cics-event-consumer/blob/main/docs/cics-http.md,14,5
/cicsdev/cics-event-consumer/blob/main/README.md,12,4
/cicsdev/cics-event-consumer,11,6
/cicsdev/cics-event-consumer/tree/main/docs,7,2
/cicsdev/cics-event-consumer/blob/main/docs/README.md,6,2
/cicsdev/cics-event-consumer/blob/main/CHANGELOG.md,4,1
/cicsdev/cics-event-consumer/blob/main/docs/SUMMARY.md,2,1
/cicsdev/cics-event-consumer/blob/main/examples/ca1y.sh,2,1
/cicsdev/cics-event-consumer/blob/main/SUMMARY.md,2,1
/cicsdev/cics-event-consumer/commit/78a554612d750935e7a6957a3683c1c1364c68db,2,1
