time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,0,0,8,1
2023-12-05 00:00:00+00:00,0,0,2,1
2023-12-06 00:00:00+00:00,1,1,0,0
2023-12-07 00:00:00+00:00,0,0,5,3
2023-12-08 00:00:00+00:00,0,0,2,1
2023-12-11 00:00:00+00:00,1,1,36,2
2023-12-13 00:00:00+00:00,1,1,8,1
2023-12-14 00:00:00+00:00,0,0,6,1
2023-12-18 00:00:00+00:00,0,0,2,1
2023-12-20 00:00:00+00:00,0,0,2,1
2023-12-21 00:00:00+00:00,0,0,22,1
2023-12-22 00:00:00+00:00,1,1,0,0
2023-12-25 00:00:00+00:00,0,0,2,1
2023-12-27 00:00:00+00:00,0,0,37,1
2023-12-28 00:00:00+00:00,1,1,0,0
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-01 00:00:00+00:00,0,0,2,1
2024-01-02 00:00:00+00:00,1,1,0,0
2024-01-06 00:00:00+00:00,0,0,2,1
2024-01-09 00:00:00+00:00,0,0,2,1
2024-01-12 00:00:00+00:00,2,2,4,2
2024-01-14 00:00:00+00:00,0,0,4,2
