url_path,views_total,views_unique
/cicsdev/cics-eventprocessing-java,15,5
/cicsdev/cics-eventprocessing-java/tree/main/cics-eventprocessing-java-webapp,11,1
/cicsdev/cics-eventprocessing-java/blob/main/cics-eventprocessing-java-webapp/build.gradle,8,1
/cicsdev/cics-eventprocessing-java/tree/main/cics-eventprocessing-java,7,3
/cicsdev/cics-eventprocessing-java/blob/main/cics-eventprocessing-java-webapp/src/main/java/com/ibm/cicsdev/eventprocessing/EventEmitter.java,6,2
/cicsdev/cics-eventprocessing-java/blob/main/build.gradle,6,1
/cicsdev/cics-eventprocessing-java/issues,6,1
/cicsdev/cics-eventprocessing-java/tree/main/cics-eventprocessing-java-webapp/src/main,6,1
/cicsdev/cics-eventprocessing-java/tree/main/cics-eventprocessing-java-bundle,5,1
/cicsdev/cics-eventprocessing-java/blob/main/cics-eventprocessing-java-webapp/src/main/java/com/ibm/cicsdev/eventprocessing/EventConsumer.java,4,2
