time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-12 00:00:00+00:00,47,10,143.0,2.0
2024-02-13 00:00:00+00:00,9,1,17.0,3.0
2024-02-14 00:00:00+00:00,9,1,22.0,1.0
2024-02-15 00:00:00+00:00,10,2,,
2024-02-16 00:00:00+00:00,9,1,1.0,1.0
2024-02-17 00:00:00+00:00,9,1,,
2024-02-18 00:00:00+00:00,9,1,,
2024-02-19 00:00:00+00:00,10,2,,
2024-02-20 00:00:00+00:00,9,1,,
2024-02-21 00:00:00+00:00,9,1,,
2024-02-22 00:00:00+00:00,9,1,,
2024-02-23 00:00:00+00:00,9,1,,
2024-02-24 00:00:00+00:00,9,1,,
