time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-05 00:00:00+00:00,1.0,1.0,20,6
2024-02-06 00:00:00+00:00,1.0,1.0,22,5
2024-02-07 00:00:00+00:00,1.0,1.0,28,6
2024-02-08 00:00:00+00:00,6.0,2.0,149,9
2024-02-09 00:00:00+00:00,9.0,1.0,47,3
2024-02-12 00:00:00+00:00,4.0,2.0,110,7
2024-02-13 00:00:00+00:00,5.0,2.0,94,10
2024-02-14 00:00:00+00:00,,,285,9
2024-02-15 00:00:00+00:00,,,10,7
2024-02-16 00:00:00+00:00,1.0,1.0,105,17
2024-02-17 00:00:00+00:00,1.0,1.0,92,3
2024-02-18 00:00:00+00:00,,,25,1
