url_path,views_total,views_unique
/cicsdev/cics-genapp,49,30
/cicsdev/cics-genapp/tree/main/base,42,15
/cicsdev/cics-genapp/blob/main/base/src/lgacdb01.cbl,23,7
/cicsdev/cics-genapp/blob/main/base/src/lgstsq.cbl,21,3
/cicsdev/cics-genapp/tree/main/base/src,19,7
/cicsdev/cics-genapp/blob/main/base/README.md,8,4
/cicsdev/cics-genapp/blob/main/base/Building.md,8,1
/cicsdev/cics-genapp/blob/f3142dc9f0434ff2833e35d7e2b02562e8196738/base/src/lgipdb01.cbl,6,1
/cicsdev/cics-genapp/blob/main/base/src/lgucvs01.cbl,6,1
/cicsdev/cics-genapp/blob/main/README.md,6,1
