url_path,views_total,views_unique
/cicsdev/cics-java-j2cprog/tree/main/src/com/ibm/cicsdev,21,6
/cicsdev/cics-java-j2cprog/blob/main/src/com/ibm/cicsdev/bean/J2CCommareaWrapper.java,10,4
/cicsdev/cics-java-j2cprog/tree/main/src/com/ibm/cicsdev/bean,9,2
/cicsdev/cics-java-j2cprog/tree/main/src/com/ibm/cicsdev/j2ctest,8,3
/cicsdev/cics-java-j2cprog,7,7
/cicsdev/cics-java-j2cprog/blob/main/src/com/ibm/cicsdev/j2ctest/J2Cprog.java,6,2
/cicsdev/cics-java-j2cprog/blob/main/etc/META-INF/MANIFEST.MF,3,1
/cicsdev/cics-java-j2cprog/blob/main/LICENSE,3,1
/cicsdev/cics-java-j2cprog/tree/main/src,3,1
/cicsdev/cics-java-j2cprog/tree/main/src/com,3,1
