time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-05 00:00:00+00:00,0,0,1,1
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-12 00:00:00+00:00,0,0,1,1
2023-12-14 00:00:00+00:00,1,1,0,0
2023-12-15 00:00:00+00:00,1,1,0,0
2023-12-18 00:00:00+00:00,0,0,1,1
2023-12-21 00:00:00+00:00,0,0,11,1
2023-12-29 00:00:00+00:00,4,2,0,0
2024-01-08 00:00:00+00:00,0,0,9,1
2024-01-12 00:00:00+00:00,0,0,9,1
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-22 00:00:00+00:00,0,0,2,2
2024-01-24 00:00:00+00:00,0,0,2,1
2024-01-29 00:00:00+00:00,3,1,0,0
2024-01-30 00:00:00+00:00,0,0,1,1
