time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-26 00:00:00+00:00,,,38,1
2024-02-27 00:00:00+00:00,1.0,1.0,36,5
2024-02-28 00:00:00+00:00,,,54,8
2024-02-29 00:00:00+00:00,1.0,1.0,93,10
2024-03-01 00:00:00+00:00,,,49,9
2024-03-02 00:00:00+00:00,,,2,1
2024-03-03 00:00:00+00:00,,,8,3
2024-03-04 00:00:00+00:00,1.0,1.0,93,10
2024-03-05 00:00:00+00:00,,,8,3
2024-03-06 00:00:00+00:00,,,80,3
2024-03-07 00:00:00+00:00,1.0,1.0,258,16
2024-03-08 00:00:00+00:00,,,102,8
2024-03-09 00:00:00+00:00,1.0,1.0,77,3
2024-03-10 00:00:00+00:00,,,2,1
