time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-03 00:00:00+00:00,0,0,3,2
2023-12-04 00:00:00+00:00,0,0,8,4
2023-12-05 00:00:00+00:00,0,0,57,4
2023-12-06 00:00:00+00:00,1,1,127,10
2023-12-07 00:00:00+00:00,0,0,29,7
2023-12-08 00:00:00+00:00,0,0,6,2
2023-12-09 00:00:00+00:00,1,1,38,3
2023-12-10 00:00:00+00:00,0,0,30,5
2023-12-11 00:00:00+00:00,0,0,37,3
2023-12-12 00:00:00+00:00,0,0,104,7
2023-12-13 00:00:00+00:00,1,1,43,6
2023-12-14 00:00:00+00:00,0,0,38,5
2023-12-15 00:00:00+00:00,2,1,33,6
2023-12-16 00:00:00+00:00,0,0,2,1
2023-12-18 00:00:00+00:00,0,0,110,8
2023-12-19 00:00:00+00:00,1,1,34,10
2023-12-20 00:00:00+00:00,1,1,53,10
2023-12-21 00:00:00+00:00,0,0,92,11
2023-12-22 00:00:00+00:00,0,0,19,3
2023-12-23 00:00:00+00:00,0,0,1,1
2023-12-24 00:00:00+00:00,0,0,5,2
2023-12-25 00:00:00+00:00,1,1,9,2
2023-12-28 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,0,0,10,5
2023-12-30 00:00:00+00:00,4,2,0,0
2024-01-01 00:00:00+00:00,0,0,2,1
2024-01-02 00:00:00+00:00,0,0,10,5
2024-01-03 00:00:00+00:00,0,0,6,3
2024-01-04 00:00:00+00:00,0,0,48,6
2024-01-05 00:00:00+00:00,0,0,50,3
2024-01-07 00:00:00+00:00,3,2,0,0
2024-01-08 00:00:00+00:00,1,1,6,2
2024-01-09 00:00:00+00:00,1,1,26,5
2024-01-10 00:00:00+00:00,0,0,24,4
