url_path,views_total,views_unique
/cicsdev/cics-java-jcicsx-samples,11,8
/cicsdev/cics-java-jcicsx-samples/tree/main/bit-link-program-sample/src/main,8,2
/cicsdev/cics-java-jcicsx-samples/tree/main/bit-link-program-sample,7,2
/cicsdev/cics-java-jcicsx-samples/blob/main/char-link-program-sample/src/main/java/sample/CharLinkServlet.java,6,2
/cicsdev/cics-java-jcicsx-samples/tree/main/bit-link-program-sample/src/main/java/sample,6,2
/cicsdev/cics-java-jcicsx-samples/tree/main/char-link-program-sample/src/main/java/sample,6,1
/cicsdev/cics-java-jcicsx-samples/tree/main/char-link-program-sample/src/main,5,1
/cicsdev/cics-java-jcicsx-samples/blob/main/bit-link-program-sample/src/main/java/sample/BitLinkServlet.java,4,2
/cicsdev/cics-java-jcicsx-samples/tree/main/char-link-program-sample,3,1
/cicsdev/cics-java-jcicsx-samples/tree/main/char-link-program-sample/src/main/cobol,3,1
