time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,6,1,0,0
2023-12-06 00:00:00+00:00,1,1,35,3
2023-12-07 00:00:00+00:00,1,1,18,5
2023-12-08 00:00:00+00:00,0,0,4,2
2023-12-10 00:00:00+00:00,0,0,3,2
2023-12-11 00:00:00+00:00,1,1,0,0
2023-12-12 00:00:00+00:00,0,0,23,2
2023-12-14 00:00:00+00:00,0,0,25,3
2023-12-15 00:00:00+00:00,0,0,2,1
2023-12-19 00:00:00+00:00,0,0,112,1
2023-12-20 00:00:00+00:00,0,0,5,2
2023-12-21 00:00:00+00:00,0,0,11,1
2023-12-25 00:00:00+00:00,0,0,26,2
2023-12-26 00:00:00+00:00,0,0,2,1
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,6,2
2024-01-03 00:00:00+00:00,0,0,15,1
2024-01-04 00:00:00+00:00,1,1,8,1
2024-01-05 00:00:00+00:00,0,0,1,1
2024-01-10 00:00:00+00:00,0,0,2,1
2024-01-11 00:00:00+00:00,0,0,2,2
2024-01-12 00:00:00+00:00,1,1,5,1
2024-01-15 00:00:00+00:00,0,0,3,1
2024-01-17 00:00:00+00:00,0,0,16,1
2024-01-20 00:00:00+00:00,1,1,4,1
2024-01-22 00:00:00+00:00,0,0,3,1
2024-01-24 00:00:00+00:00,0,0,10,2
2024-01-28 00:00:00+00:00,0,0,1,1
2024-01-30 00:00:00+00:00,1,1,1,1
2024-01-31 00:00:00+00:00,0,0,3,1
2024-02-02 00:00:00+00:00,0,0,1,1
2024-02-07 00:00:00+00:00,0,0,10,2
2024-02-08 00:00:00+00:00,0,0,1,1
2024-02-12 00:00:00+00:00,0,0,1,1
2024-02-13 00:00:00+00:00,0,0,2,2
2024-02-14 00:00:00+00:00,0,0,2,2
2024-02-15 00:00:00+00:00,0,0,23,4
2024-02-16 00:00:00+00:00,0,0,1,1
2024-02-17 00:00:00+00:00,0,0,14,2
2024-02-18 00:00:00+00:00,1,1,15,1
2024-02-19 00:00:00+00:00,0,0,16,3
2024-02-20 00:00:00+00:00,0,0,12,3
2024-02-21 00:00:00+00:00,0,0,5,3
2024-02-23 00:00:00+00:00,0,0,5,2
2024-02-27 00:00:00+00:00,0,0,1,1
2024-02-28 00:00:00+00:00,0,0,24,1
2024-02-29 00:00:00+00:00,0,0,15,1
2024-03-02 00:00:00+00:00,1,1,0,0
2024-03-03 00:00:00+00:00,0,0,1,1
2024-03-04 00:00:00+00:00,0,0,17,2
2024-03-05 00:00:00+00:00,0,0,4,1
2024-03-06 00:00:00+00:00,1,1,0,0
2024-03-08 00:00:00+00:00,2,2,15,1
2024-03-12 00:00:00+00:00,0,0,14,1
2024-03-21 00:00:00+00:00,1,1,0,0
2024-03-24 00:00:00+00:00,0,0,5,1
2024-03-26 00:00:00+00:00,0,0,82,1
2024-03-27 00:00:00+00:00,0,0,9,1
2024-03-28 00:00:00+00:00,1,1,11,2
2024-03-29 00:00:00+00:00,0,0,1,1
2024-04-03 00:00:00+00:00,0,0,7,2
2024-04-05 00:00:00+00:00,0,0,1,1
2024-04-08 00:00:00+00:00,0,0,3,2
2024-04-09 00:00:00+00:00,0,0,1,1
2024-04-10 00:00:00+00:00,1,1,6,3
2024-04-11 00:00:00+00:00,0,0,14,6
2024-04-12 00:00:00+00:00,0,0,13,1
2024-04-15 00:00:00+00:00,0,0,27,2
2024-04-16 00:00:00+00:00,0,0,24,3
2024-04-17 00:00:00+00:00,0,0,13,3
2024-04-22 00:00:00+00:00,0,0,9,1
2024-04-25 00:00:00+00:00,0,0,5,1
2024-04-30 00:00:00+00:00,0,0,3,2
