url_path,views_total,views_unique
/cicsdev/cics-java-liberty-employee-db/tree/main/projects/employee.jdbc.web,12,2
/cicsdev/cics-java-liberty-employee-db/tree/main/projects/employee.jdbc.web/src/com/ibm/cicsdev/employee/jdbc,10,2
/cicsdev/cics-java-liberty-employee-db/tree/main/projects,6,2
/cicsdev/cics-java-liberty-employee-db,5,5
/cicsdev/cics-java-liberty-employee-db/blob/main/projects/employee.jdbc.web/src/com/ibm/cicsdev/employee/jdbc/beans/Employee.java,4,2
/cicsdev/cics-java-liberty-employee-db/tree/main/projects/employee.jdbc.cicsbundle,4,2
/cicsdev/cics-java-liberty-employee-db/tree/main/projects/employee.jdbc.web/src/com,4,2
/cicsdev/cics-java-liberty-employee-db/tree/main/projects/employee.jdbc.web/src/com/ibm,4,2
/cicsdev/cics-java-liberty-employee-db/tree/main/projects/employee.jdbc.web/src/com/ibm/cicsdev,4,2
/cicsdev/cics-java-liberty-employee-db/tree/main/projects/employee.jdbc.web/src/com/ibm/cicsdev/employee/jdbc/beans,4,2
