time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-03 00:00:00+00:00,6,1,18.0,1.0
2024-05-04 00:00:00+00:00,6,1,,
2024-05-05 00:00:00+00:00,6,1,,
2024-05-06 00:00:00+00:00,6,1,3.0,1.0
2024-05-07 00:00:00+00:00,6,1,31.0,1.0
2024-05-08 00:00:00+00:00,6,1,2.0,2.0
2024-05-09 00:00:00+00:00,7,2,69.0,2.0
2024-05-10 00:00:00+00:00,6,1,55.0,3.0
2024-05-11 00:00:00+00:00,6,1,,
2024-05-12 00:00:00+00:00,6,1,1.0,1.0
2024-05-13 00:00:00+00:00,6,1,1.0,1.0
2024-05-14 00:00:00+00:00,6,1,31.0,3.0
2024-05-15 00:00:00+00:00,6,1,71.0,1.0
2024-05-16 00:00:00+00:00,6,1,2.0,2.0
