time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,1,1,0,0
2023-12-06 00:00:00+00:00,1,1,17,5
2023-12-07 00:00:00+00:00,2,2,0,0
2023-12-08 00:00:00+00:00,0,0,66,2
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-10 00:00:00+00:00,0,0,65,1
2023-12-11 00:00:00+00:00,0,0,44,2
2023-12-12 00:00:00+00:00,3,1,108,4
2023-12-13 00:00:00+00:00,2,1,4,1
2023-12-14 00:00:00+00:00,0,0,2,1
2023-12-15 00:00:00+00:00,0,0,2,1
2023-12-16 00:00:00+00:00,0,0,2,1
2023-12-18 00:00:00+00:00,1,1,6,2
2023-12-27 00:00:00+00:00,0,0,7,2
2023-12-29 00:00:00+00:00,2,1,0,0
2023-12-31 00:00:00+00:00,1,1,0,0
2024-01-01 00:00:00+00:00,0,0,9,1
2024-01-03 00:00:00+00:00,0,0,22,3
2024-01-04 00:00:00+00:00,0,0,3,1
2024-01-05 00:00:00+00:00,0,0,27,2
2024-01-10 00:00:00+00:00,0,0,2,2
2024-01-12 00:00:00+00:00,2,2,0,0
2024-01-13 00:00:00+00:00,0,0,39,3
2024-01-14 00:00:00+00:00,0,0,31,1
2024-01-19 00:00:00+00:00,1,1,0,0
2024-01-22 00:00:00+00:00,0,0,32,2
2024-01-24 00:00:00+00:00,0,0,4,2
2024-01-25 00:00:00+00:00,0,0,58,2
2024-01-26 00:00:00+00:00,0,0,17,6
2024-01-27 00:00:00+00:00,0,0,1,1
2024-01-29 00:00:00+00:00,2,1,63,3
