time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,1,1,0,0
2023-12-05 00:00:00+00:00,0,0,1,1
2023-12-06 00:00:00+00:00,0,0,4,2
2023-12-07 00:00:00+00:00,1,1,5,2
2023-12-09 00:00:00+00:00,2,2,0,0
2023-12-11 00:00:00+00:00,2,1,3,2
2023-12-12 00:00:00+00:00,0,0,3,2
2023-12-14 00:00:00+00:00,0,0,2,1
2023-12-15 00:00:00+00:00,0,0,2,1
2023-12-16 00:00:00+00:00,0,0,2,1
2023-12-17 00:00:00+00:00,0,0,5,1
2023-12-20 00:00:00+00:00,1,1,2,1
2023-12-21 00:00:00+00:00,0,0,13,1
2023-12-25 00:00:00+00:00,1,1,2,1
2023-12-26 00:00:00+00:00,0,0,9,3
