url_path,views_total,views_unique
/cicsdev/cics-java-liberty-restapp-ext/tree/main/src,18,5
/cicsdev/cics-java-liberty-restapp-ext,12,9
/cicsdev/cics-java-liberty-restapp-ext/tree/main/src/Java/com/ibm/cicsdev/restappext,10,3
/cicsdev/cics-java-liberty-restapp-ext/tree/main/lib,6,2
/cicsdev/cics-java-liberty-restapp-ext/blob/main/RunningLinkToLiberty.md,5,1
/cicsdev/cics-java-liberty-restapp-ext/blob/main/lib/com.ibm.cicsdev.restappext.generated.jar,4,2
/cicsdev/cics-java-liberty-restapp-ext/tree/main/etc,4,2
/cicsdev/cics-java-liberty-restapp-ext/tree/main/src/Cobol,4,2
/cicsdev/cics-java-liberty-restapp-ext/tree/main/src/Java/com/ibm/cicsdev/restappext/helper,4,1
/cicsdev/cics-java-liberty-restapp-ext/tree/main,2,2
