time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-04 00:00:00+00:00,9,1,,
2024-02-05 00:00:00+00:00,22,5,21.0,2.0
2024-02-06 00:00:00+00:00,10,2,4.0,1.0
2024-02-07 00:00:00+00:00,9,1,14.0,1.0
2024-02-08 00:00:00+00:00,9,1,34.0,4.0
2024-02-09 00:00:00+00:00,9,1,,
2024-02-10 00:00:00+00:00,9,1,1.0,1.0
2024-02-11 00:00:00+00:00,9,1,,
2024-02-12 00:00:00+00:00,45,8,64.0,3.0
2024-02-13 00:00:00+00:00,9,1,65.0,3.0
2024-02-14 00:00:00+00:00,9,1,16.0,2.0
2024-02-15 00:00:00+00:00,9,1,63.0,3.0
2024-02-16 00:00:00+00:00,9,1,7.0,1.0
2024-02-17 00:00:00+00:00,9,1,15.0,1.0
