time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,0,0,1,1
2023-12-04 00:00:00+00:00,1,1,10,3
2023-12-05 00:00:00+00:00,0,0,20,2
2023-12-07 00:00:00+00:00,0,0,1,1
2023-12-09 00:00:00+00:00,1,1,1,1
2023-12-11 00:00:00+00:00,1,1,19,2
2023-12-12 00:00:00+00:00,0,0,15,2
2023-12-14 00:00:00+00:00,1,1,15,3
2023-12-15 00:00:00+00:00,0,0,6,2
2023-12-18 00:00:00+00:00,0,0,54,4
2023-12-19 00:00:00+00:00,0,0,15,2
2023-12-20 00:00:00+00:00,1,1,7,3
2023-12-21 00:00:00+00:00,0,0,12,1
2023-12-22 00:00:00+00:00,0,0,2,2
2023-12-25 00:00:00+00:00,0,0,47,2
2023-12-26 00:00:00+00:00,0,0,2,1
2023-12-27 00:00:00+00:00,1,1,0,0
2023-12-28 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,0,0,3,1
2023-12-30 00:00:00+00:00,3,2,0,0
2023-12-31 00:00:00+00:00,0,0,27,1
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,6,2
2024-01-03 00:00:00+00:00,0,0,1,1
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-05 00:00:00+00:00,0,0,61,4
2024-01-08 00:00:00+00:00,0,0,3,1
2024-01-11 00:00:00+00:00,0,0,65,3
2024-01-12 00:00:00+00:00,1,1,58,2
2024-01-13 00:00:00+00:00,0,0,12,2
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,3,2
2024-01-17 00:00:00+00:00,1,1,98,4
2024-01-18 00:00:00+00:00,0,0,6,1
2024-01-19 00:00:00+00:00,0,0,5,2
2024-01-22 00:00:00+00:00,1,1,14,5
2024-01-23 00:00:00+00:00,0,0,18,4
2024-01-24 00:00:00+00:00,0,0,26,3
