time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-03 00:00:00+00:00,0,0,13,1
2023-12-04 00:00:00+00:00,0,0,6,1
2023-12-05 00:00:00+00:00,0,0,1,1
2023-12-06 00:00:00+00:00,0,0,1,1
2023-12-07 00:00:00+00:00,0,0,2,2
2023-12-09 00:00:00+00:00,0,0,1,1
2023-12-12 00:00:00+00:00,0,0,1,1
2023-12-13 00:00:00+00:00,0,0,1,1
2023-12-14 00:00:00+00:00,0,0,1,1
2023-12-15 00:00:00+00:00,0,0,3,2
2023-12-21 00:00:00+00:00,0,0,7,1
2023-12-27 00:00:00+00:00,1,1,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-03 00:00:00+00:00,1,1,0,0
2024-01-04 00:00:00+00:00,1,1,2,1
2024-01-05 00:00:00+00:00,0,0,11,2
2024-01-11 00:00:00+00:00,0,0,14,1
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-14 00:00:00+00:00,0,0,11,1
