time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-28 00:00:00+00:00,,,4,1
2024-01-29 00:00:00+00:00,,,76,7
2024-01-30 00:00:00+00:00,,,50,2
2024-01-31 00:00:00+00:00,,,45,3
2024-02-01 00:00:00+00:00,1.0,1.0,4,2
2024-02-02 00:00:00+00:00,,,9,1
2024-02-03 00:00:00+00:00,,,1,1
2024-02-04 00:00:00+00:00,,,7,1
2024-02-05 00:00:00+00:00,2.0,2.0,22,3
2024-02-06 00:00:00+00:00,4.0,4.0,7,1
2024-02-07 00:00:00+00:00,,,8,1
2024-02-08 00:00:00+00:00,,,52,2
2024-02-09 00:00:00+00:00,,,6,2
