time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-06 00:00:00+00:00,0,0,12,2
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-11 00:00:00+00:00,0,0,30,1
2023-12-12 00:00:00+00:00,0,0,1,1
2023-12-14 00:00:00+00:00,0,0,12,2
2023-12-15 00:00:00+00:00,1,1,13,2
2023-12-18 00:00:00+00:00,1,1,0,0
2023-12-19 00:00:00+00:00,0,0,6,1
2023-12-22 00:00:00+00:00,0,0,2,2
2023-12-26 00:00:00+00:00,1,1,3,1
2023-12-27 00:00:00+00:00,1,1,1,1
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,2,1
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-05 00:00:00+00:00,0,0,38,2
2024-01-06 00:00:00+00:00,0,0,39,1
2024-01-08 00:00:00+00:00,0,0,12,2
2024-01-10 00:00:00+00:00,0,0,16,2
2024-01-11 00:00:00+00:00,1,1,44,3
2024-01-12 00:00:00+00:00,0,0,2,1
2024-01-15 00:00:00+00:00,0,0,3,2
2024-01-17 00:00:00+00:00,1,1,2,1
