time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,0,0,1,1
2023-12-05 00:00:00+00:00,0,0,2,2
2023-12-06 00:00:00+00:00,0,0,3,2
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-14 00:00:00+00:00,0,0,26,1
2023-12-18 00:00:00+00:00,1,1,0,0
2023-12-21 00:00:00+00:00,0,0,1,1
2023-12-27 00:00:00+00:00,1,1,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-06 00:00:00+00:00,0,0,1,1
2024-01-07 00:00:00+00:00,0,0,1,1
2024-01-11 00:00:00+00:00,0,0,14,1
2024-01-12 00:00:00+00:00,0,0,74,2
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,4,2
2024-01-17 00:00:00+00:00,1,1,7,2
2024-01-25 00:00:00+00:00,0,0,59,5
2024-01-26 00:00:00+00:00,1,1,6,1
2024-01-30 00:00:00+00:00,0,0,1,1
2024-02-05 00:00:00+00:00,3,3,14,1
2024-02-06 00:00:00+00:00,1,1,0,0
2024-02-12 00:00:00+00:00,0,0,16,1
2024-02-13 00:00:00+00:00,0,0,3,3
2024-02-16 00:00:00+00:00,0,0,3,1
2024-02-22 00:00:00+00:00,1,1,0,0
2024-02-26 00:00:00+00:00,1,1,39,2
2024-02-28 00:00:00+00:00,0,0,3,1
2024-03-01 00:00:00+00:00,1,1,0,0
2024-03-02 00:00:00+00:00,1,1,0,0
2024-03-03 00:00:00+00:00,0,0,9,1
2024-03-07 00:00:00+00:00,2,2,0,0
2024-03-13 00:00:00+00:00,0,0,20,2
2024-03-14 00:00:00+00:00,0,0,18,1
2024-03-17 00:00:00+00:00,0,0,1,1
2024-03-25 00:00:00+00:00,0,0,4,2
2024-03-28 00:00:00+00:00,1,1,0,0
2024-04-16 00:00:00+00:00,0,0,2,1
2024-04-19 00:00:00+00:00,0,0,2,1
2024-04-27 00:00:00+00:00,0,0,2,1
2024-04-28 00:00:00+00:00,0,0,4,1
2024-05-04 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,0,0,3,2
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-13 00:00:00+00:00,0,0,2,1
2024-05-15 00:00:00+00:00,0,0,34,1
2024-05-16 00:00:00+00:00,0,0,26,1
2024-05-20 00:00:00+00:00,0,0,18,3
