time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-07 00:00:00+00:00,0,0,1,1
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-19 00:00:00+00:00,0,0,18,1
2023-12-21 00:00:00+00:00,0,0,18,2
2023-12-22 00:00:00+00:00,1,1,0,0
2023-12-27 00:00:00+00:00,1,1,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-05 00:00:00+00:00,0,0,8,2
2024-01-06 00:00:00+00:00,1,1,0,0
2024-01-09 00:00:00+00:00,0,0,2,1
2024-01-11 00:00:00+00:00,0,0,1,1
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-17 00:00:00+00:00,1,1,0,0
2024-01-19 00:00:00+00:00,1,1,4,1
2024-01-23 00:00:00+00:00,0,0,2,1
2024-01-25 00:00:00+00:00,0,0,1,1
2024-01-26 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,0,0,26,1
2024-01-30 00:00:00+00:00,0,0,9,1
2024-02-05 00:00:00+00:00,3,3,14,1
2024-02-06 00:00:00+00:00,1,1,8,1
2024-02-08 00:00:00+00:00,0,0,20,2
2024-02-11 00:00:00+00:00,0,0,2,1
2024-02-12 00:00:00+00:00,2,2,7,1
2024-02-13 00:00:00+00:00,0,0,6,2
2024-02-14 00:00:00+00:00,0,0,10,1
2024-02-20 00:00:00+00:00,0,0,1,1
2024-02-28 00:00:00+00:00,0,0,16,2
2024-03-01 00:00:00+00:00,1,1,0,0
2024-03-03 00:00:00+00:00,1,1,0,0
2024-03-04 00:00:00+00:00,0,0,2,1
2024-03-05 00:00:00+00:00,0,0,9,1
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-12 00:00:00+00:00,0,0,2,1
2024-03-13 00:00:00+00:00,0,0,1,1
2024-03-19 00:00:00+00:00,0,0,2,1
2024-03-21 00:00:00+00:00,0,0,1,1
2024-03-22 00:00:00+00:00,0,0,2,1
2024-03-25 00:00:00+00:00,0,0,3,1
2024-03-28 00:00:00+00:00,1,1,0,0
2024-04-03 00:00:00+00:00,1,1,0,0
2024-04-04 00:00:00+00:00,0,0,1,1
2024-04-09 00:00:00+00:00,0,0,8,2
2024-04-10 00:00:00+00:00,0,0,1,1
2024-04-12 00:00:00+00:00,0,0,4,2
2024-04-15 00:00:00+00:00,0,0,24,2
2024-04-24 00:00:00+00:00,0,0,1,1
2024-04-26 00:00:00+00:00,0,0,8,1
2024-05-04 00:00:00+00:00,1,1,0,0
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-12 00:00:00+00:00,0,0,2,1
