url_path,views_total,views_unique
/cicsdev/cics-java-osgi-ds/tree/main/projects,12,2
/cicsdev/cics-java-osgi-ds/tree/main/projects/com.ibm.cicsdev.osgi.ds.cicsapp_1.0.0,8,2
/cicsdev/cics-java-osgi-ds/tree/main/projects/com.ibm.cicsdev.osgi.ds.cicsapp_1.0.0/src/com/ibm/cicsdev/osgi/ds/cicsapp,8,2
/cicsdev/cics-java-osgi-ds/blob/main/projects/com.ibm.cicsdev.osgi.ds.cicsapp_1.0.0/src/com/ibm/cicsdev/osgi/ds/cicsapp/CICSApp.java,4,2
/cicsdev/cics-java-osgi-ds/tree/main/projects/com.ibm.cicsdev.osgi.ds.storage_1.0.0/src/com/ibm/cicsdev/osgi/ds/storage,4,1
/cicsdev/cics-java-osgi-ds,3,3
/cicsdev/cics-java-osgi-ds/tree/main/projects/com.ibm.cicsdev.osgi.ds.cicsapp_1.0.0/OSGI-INF,3,1
/cicsdev/cics-java-osgi-ds/tree/main/projects/com.ibm.cicsdev.osgi.ds.storage_1.0.0,3,1
/cicsdev/cics-java-osgi-ds/blob/main/blog-graphics/component_definition_0.png,2,1
/cicsdev/cics-java-osgi-ds/blob/main/blog-graphics/component_definition_1-768x432.png,2,1
