time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-06 00:00:00+00:00,1,1,0,0
2023-12-13 00:00:00+00:00,1,1,0,0
2023-12-19 00:00:00+00:00,0,0,6,1
2023-12-20 00:00:00+00:00,0,0,1,1
2023-12-21 00:00:00+00:00,0,0,9,1
2023-12-23 00:00:00+00:00,1,1,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,12,1
2024-01-03 00:00:00+00:00,0,0,1,1
2024-01-04 00:00:00+00:00,0,0,1,1
2024-01-07 00:00:00+00:00,0,0,2,1
2024-01-08 00:00:00+00:00,0,0,1,1
2024-01-10 00:00:00+00:00,0,0,2,1
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,2,1
2024-01-17 00:00:00+00:00,0,0,2,1
2024-01-19 00:00:00+00:00,1,1,0,0
2024-01-23 00:00:00+00:00,0,0,1,1
2024-01-29 00:00:00+00:00,1,1,3,1
2024-02-02 00:00:00+00:00,0,0,19,1
