time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-06 00:00:00+00:00,,,35,1
2023-12-07 00:00:00+00:00,2.0,2.0,12,4
2023-12-08 00:00:00+00:00,1.0,1.0,1,1
2023-12-09 00:00:00+00:00,2.0,2.0,2,1
2023-12-10 00:00:00+00:00,,,36,2
2023-12-11 00:00:00+00:00,,,60,2
2023-12-12 00:00:00+00:00,,,47,4
2023-12-13 00:00:00+00:00,2.0,2.0,26,1
2023-12-14 00:00:00+00:00,,,1,1
2023-12-15 00:00:00+00:00,,,2,1
2023-12-16 00:00:00+00:00,,,1,1
2023-12-17 00:00:00+00:00,,,13,1
2023-12-18 00:00:00+00:00,,,33,2
