time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,0,0,3,1
2023-12-07 00:00:00+00:00,2,2,0,0
2023-12-20 00:00:00+00:00,1,1,0,0
2023-12-26 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-07 00:00:00+00:00,0,0,2,1
2024-01-08 00:00:00+00:00,1,1,0,0
2024-01-11 00:00:00+00:00,1,1,0,0
2024-01-12 00:00:00+00:00,1,1,0,0
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,1,1,0,0
2024-01-30 00:00:00+00:00,2,2,0,0
2024-02-01 00:00:00+00:00,1,1,0,0
2024-02-27 00:00:00+00:00,1,1,0,0
2024-02-28 00:00:00+00:00,1,1,1,1
2024-03-05 00:00:00+00:00,1,1,0,0
2024-03-06 00:00:00+00:00,0,0,1,1
2024-03-07 00:00:00+00:00,1,1,0,0
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-15 00:00:00+00:00,0,0,8,1
2024-03-18 00:00:00+00:00,1,1,0,0
2024-03-20 00:00:00+00:00,0,0,2,1
2024-03-22 00:00:00+00:00,1,1,0,0
2024-03-30 00:00:00+00:00,1,1,0,0
2024-04-05 00:00:00+00:00,0,0,4,1
2024-04-06 00:00:00+00:00,1,1,0,0
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-29 00:00:00+00:00,1,1,0,0
