time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-05 00:00:00+00:00,0,0,40,2
2023-12-07 00:00:00+00:00,1,1,2,1
2023-12-24 00:00:00+00:00,1,1,0,0
2023-12-28 00:00:00+00:00,0,0,1,1
2023-12-29 00:00:00+00:00,2,1,0,0
2023-12-31 00:00:00+00:00,0,0,2,2
2024-01-01 00:00:00+00:00,0,0,2,2
2024-01-11 00:00:00+00:00,2,2,0,0
2024-01-16 00:00:00+00:00,1,1,0,0
2024-01-26 00:00:00+00:00,1,1,6,1
2024-01-27 00:00:00+00:00,0,0,18,1
2024-01-29 00:00:00+00:00,1,1,0,0
2024-02-24 00:00:00+00:00,1,1,0,0
2024-02-27 00:00:00+00:00,1,1,0,0
2024-02-29 00:00:00+00:00,2,2,0,0
2024-03-07 00:00:00+00:00,1,1,0,0
2024-03-14 00:00:00+00:00,0,0,22,1
2024-03-15 00:00:00+00:00,1,1,6,1
2024-03-16 00:00:00+00:00,0,0,7,1
2024-04-05 00:00:00+00:00,0,0,16,1
2024-04-08 00:00:00+00:00,0,0,1,1
2024-04-22 00:00:00+00:00,0,0,1,1
2024-04-28 00:00:00+00:00,1,1,0,0
2024-04-29 00:00:00+00:00,0,0,2,2
