time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,0,0,1,1
2023-12-04 00:00:00+00:00,0,0,2,1
2023-12-07 00:00:00+00:00,1,1,0,0
2023-12-08 00:00:00+00:00,0,0,3,2
2023-12-09 00:00:00+00:00,1,1,1,1
2023-12-10 00:00:00+00:00,0,0,1,1
2023-12-11 00:00:00+00:00,0,0,1,1
2023-12-13 00:00:00+00:00,0,0,1,1
2023-12-15 00:00:00+00:00,0,0,1,1
2023-12-16 00:00:00+00:00,1,1,1,1
2023-12-19 00:00:00+00:00,0,0,6,1
2023-12-20 00:00:00+00:00,1,1,0,0
2023-12-21 00:00:00+00:00,0,0,1,1
2023-12-22 00:00:00+00:00,0,0,1,1
2023-12-23 00:00:00+00:00,0,0,1,1
2023-12-26 00:00:00+00:00,0,0,3,2
2023-12-28 00:00:00+00:00,0,0,3,3
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,1,1
2024-01-04 00:00:00+00:00,0,0,3,1
2024-01-07 00:00:00+00:00,1,1,0,0
2024-01-10 00:00:00+00:00,0,0,34,1
2024-01-11 00:00:00+00:00,0,0,2,2
2024-01-12 00:00:00+00:00,0,0,45,2
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,29,3
2024-01-16 00:00:00+00:00,1,1,37,2
2024-01-17 00:00:00+00:00,0,0,3,3
2024-01-18 00:00:00+00:00,0,0,8,2
2024-01-19 00:00:00+00:00,0,0,10,1
2024-01-20 00:00:00+00:00,1,1,0,0
2024-01-22 00:00:00+00:00,0,0,16,2
2024-01-23 00:00:00+00:00,1,1,0,0
2024-01-26 00:00:00+00:00,0,0,23,1
2024-01-27 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,1,1,0,0
2024-01-30 00:00:00+00:00,0,0,1,1
2024-01-31 00:00:00+00:00,0,0,5,2
2024-02-01 00:00:00+00:00,0,0,32,4
2024-02-05 00:00:00+00:00,0,0,3,2
2024-02-06 00:00:00+00:00,0,0,2,2
2024-02-12 00:00:00+00:00,0,0,2,2
2024-02-13 00:00:00+00:00,0,0,3,1
2024-02-15 00:00:00+00:00,0,0,9,2
2024-02-19 00:00:00+00:00,0,0,22,1
2024-02-20 00:00:00+00:00,0,0,6,4
2024-02-21 00:00:00+00:00,0,0,1,1
2024-02-22 00:00:00+00:00,0,0,1,1
2024-02-23 00:00:00+00:00,0,0,3,2
2024-02-25 00:00:00+00:00,0,0,40,1
2024-02-26 00:00:00+00:00,0,0,1,1
2024-02-29 00:00:00+00:00,0,0,1,1
2024-03-05 00:00:00+00:00,0,0,1,1
2024-03-07 00:00:00+00:00,0,0,1,1
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-11 00:00:00+00:00,0,0,8,2
2024-03-12 00:00:00+00:00,0,0,3,1
2024-03-13 00:00:00+00:00,0,0,2,1
2024-03-14 00:00:00+00:00,0,0,13,2
2024-03-15 00:00:00+00:00,0,0,1,1
2024-03-22 00:00:00+00:00,0,0,65,5
2024-03-23 00:00:00+00:00,1,1,0,0
2024-03-25 00:00:00+00:00,0,0,1,1
2024-03-26 00:00:00+00:00,1,1,3,1
2024-03-27 00:00:00+00:00,0,0,2,2
2024-03-28 00:00:00+00:00,1,1,4,2
2024-03-29 00:00:00+00:00,0,0,1,1
2024-04-09 00:00:00+00:00,0,0,1,1
2024-04-11 00:00:00+00:00,0,0,1,1
2024-04-12 00:00:00+00:00,1,1,8,1
2024-04-14 00:00:00+00:00,0,0,2,2
2024-04-16 00:00:00+00:00,0,0,4,3
2024-04-19 00:00:00+00:00,1,1,2,1
2024-04-22 00:00:00+00:00,1,1,3,2
2024-04-23 00:00:00+00:00,0,0,2,2
2024-04-24 00:00:00+00:00,0,0,1,1
2024-04-25 00:00:00+00:00,2,1,2,2
2024-04-26 00:00:00+00:00,0,0,14,6
2024-04-27 00:00:00+00:00,0,0,1,1
2024-04-29 00:00:00+00:00,0,0,26,2
2024-04-30 00:00:00+00:00,0,0,20,4
