time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-14 00:00:00+00:00,1,1,0,0
2023-12-19 00:00:00+00:00,0,0,1,1
2023-12-24 00:00:00+00:00,1,1,0,0
2023-12-25 00:00:00+00:00,1,1,0,0
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-08 00:00:00+00:00,0,0,5,1
2024-01-11 00:00:00+00:00,1,1,0,0
2024-01-12 00:00:00+00:00,1,1,0,0
2024-01-18 00:00:00+00:00,0,0,1,1
2024-01-28 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,1,1,0,0
2024-01-30 00:00:00+00:00,0,0,28,1
2024-02-15 00:00:00+00:00,0,0,3,1
2024-02-21 00:00:00+00:00,1,1,0,0
2024-02-29 00:00:00+00:00,0,0,25,3
2024-03-12 00:00:00+00:00,0,0,2,1
2024-03-14 00:00:00+00:00,0,0,23,1
2024-03-28 00:00:00+00:00,1,1,3,1
2024-04-01 00:00:00+00:00,1,1,2,1
2024-04-07 00:00:00+00:00,1,1,0,0
2024-04-12 00:00:00+00:00,0,0,2,1
2024-04-16 00:00:00+00:00,0,0,10,3
2024-04-22 00:00:00+00:00,0,0,3,1
2024-04-23 00:00:00+00:00,0,0,4,1
2024-04-25 00:00:00+00:00,0,0,1,1
2024-05-09 00:00:00+00:00,1,1,1,1
