time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-05 00:00:00+00:00,0,0,2,1
2023-12-06 00:00:00+00:00,0,0,1,1
2023-12-08 00:00:00+00:00,0,0,7,3
2023-12-09 00:00:00+00:00,2,2,0,0
2023-12-11 00:00:00+00:00,0,0,3,3
2023-12-12 00:00:00+00:00,1,1,0,0
2023-12-14 00:00:00+00:00,2,2,10,1
2023-12-17 00:00:00+00:00,1,1,0,0
2023-12-18 00:00:00+00:00,0,0,1,1
2023-12-19 00:00:00+00:00,0,0,1,1
2023-12-20 00:00:00+00:00,0,0,2,2
2023-12-21 00:00:00+00:00,0,0,1,1
2023-12-26 00:00:00+00:00,0,0,15,3
2023-12-27 00:00:00+00:00,1,1,0,0
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-10 00:00:00+00:00,1,1,1,1
2024-01-11 00:00:00+00:00,1,1,0,0
