time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-13 00:00:00+00:00,1,1,1,1
2023-12-15 00:00:00+00:00,0,0,1,1
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-05 00:00:00+00:00,0,0,1,1
2024-01-12 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,1,1,0,0
2024-01-28 00:00:00+00:00,0,0,6,1
2024-01-29 00:00:00+00:00,1,1,0,0
2024-02-18 00:00:00+00:00,1,1,0,0
2024-02-19 00:00:00+00:00,0,0,1,1
2024-02-20 00:00:00+00:00,0,0,1,1
2024-02-23 00:00:00+00:00,0,0,5,1
2024-03-03 00:00:00+00:00,0,0,1,1
2024-03-09 00:00:00+00:00,1,1,0,0
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-14 00:00:00+00:00,0,0,6,1
2024-03-19 00:00:00+00:00,0,0,17,1
2024-03-21 00:00:00+00:00,0,0,1,1
2024-03-29 00:00:00+00:00,0,0,1,1
2024-04-24 00:00:00+00:00,0,0,6,1
2024-04-25 00:00:00+00:00,2,1,0,0
2024-04-26 00:00:00+00:00,2,1,12,2
2024-04-29 00:00:00+00:00,0,0,2,1
